source_id,source,latitude,longitude,event_date,spatial_block_id
9142,NASA_GLC,26.3185,94.5247,2016-06-14,block_52_189
4435,NASA_GLC,27.174,95.8011,2012-06-25,block_54_191
5271,NASA_GLC,26.284,94.5808,2013-08-04,block_52_189
7031,NASA_GLC,27.6163,88.6586,2015-05-24,block_55_177
587,NASA_GLC,27.2298,94.0989,2008-06-15,block_54_188
148,NASA_GLC,22.479,92.967,2007-07-30,block_44_185
2539,NASA_GLC,28.3092,95.4149,2010-10-03,block_56_190
6015,NASA_GLC,27.9032,96.174,2014-05-08,block_55_192
870,NASA_GLC,27.4,92.35,2008-10-29,block_54_184
5427,NASA_GLC,25.3833,94.1884,2013-08-15,block_50_188
7666,NASA_GLC,25.1019,93.3729,2015-08-11,block_50_186
126,NASA_GLC,27.1499,88.38,2007-07-16,block_54_176
220,NASA_GLC,25.1333,93.9667,2007-08-31,block_50_187
5123,NASA_GLC,25.7131,94.0885,2013-07-17,block_51_188
9972,NASA_GLC,26.22247247,91.92053028,2017-07-03,block_52_183
9875,NASA_GLC,24.32420539,93.15020652,2017-06-26,block_48_186
7334,NASA_GLC,28.1737,94.7596,2015-08-18,block_56_189
256,NASA_GLC,27.3425,88.6236,2007-09-10,block_54_177
7279,NASA_GLC,24.9818,93.5142,2015-07-24,block_49_187
4569,NASA_GLC,27.8385,88.556,2012-09-19,block_55_177
5084,NASA_GLC,25.616,94.1167,2013-07-12,block_51_188
8996,NASA_GLC,26.1768,91.7702,2016-07-14,block_52_183
9834,NASA_GLC,27.05880384,93.54136779,2017-06-21,block_54_187
9797,NASA_GLC,27.769793,93.50995626,2017-05-24,block_55_187
10004,NASA_GLC,26.14547804,91.79364785,2017-07-10,block_52_183
1109,NASA_GLC,25.5215,93.1645,2009-08-20,block_51_186
1775,NASA_GLC,27.8965,96.1779,2010-04-21,block_55_192
3269,NASA_GLC,28.0791,96.5242,2011-03-22,block_56_193
2283,NASA_GLC,24.8961,93.4957,2010-08-19,block_49_186
3662,NASA_GLC,25.03561729,94.0144205,2011-06-28,block_50_188
7383,NASA_GLC,23.899,94.1434,2015-08-01,block_47_188
11173,NASA_GLC,27.61790706,93.84196894,2017-04-22,block_55_187
4858,NASA_GLC,26.1662,91.7138,2013-05-11,block_52_183
6288,NASA_GLC,26.1985,91.7998,2014-09-22,block_52_183
13263,NASA_GLC,27.303999,92.407813,2017-09-30,block_54_184
9974,NASA_GLC,25.4976444,94.12901274,2017-07-04,block_50_188
9853,NASA_GLC,27.593,88.492,2016-08-16,block_55_176
9877,NASA_GLC,24.21988831,93.20266204,2017-06-26,block_48_186
9876,NASA_GLC,24.30415689,93.18182448,2017-06-27,block_48_186
1125,NASA_GLC,27.3746,88.7648,2009-08-26,block_54_177
10957,NASA_GLC,22.90813548,92.47207294,2017-06-09,block_45_184
10985,NASA_GLC,25.43807422,91.79904872,2017-06-17,block_50_183
12712,NASA_GLC,24.981195,94.018619,2017-09-29,block_49_188
12713,NASA_GLC,25.533595,94.133345,2017-10-22,block_51_188
11170,NASA_GLC,27.14163897,93.66495709,2017-07-09,block_54_187
3633,NASA_GLC,26.3186,94.5121,2011-06-20,block_52_189
11152,NASA_GLC,25.08303063,94.23757741,2017-04-06,block_50_188
11163,NASA_GLC,26.95223279,93.85748748,2017-07-10,block_53_187
11160,NASA_GLC,26.2632687,94.81481951,2017-07-10,block_52_189
11174,NASA_GLC,27.6802471,93.62592773,2017-04-22,block_55_187
7409,NASA_GLC,25.72,94.6219,2015-08-02,block_51_189
6112,NASA_GLC,26.1964,91.7652,2014-06-28,block_52_183
7838,NASA_GLC,23.6866,93.017,2015-08-27,block_47_186
212,NASA_GLC,25.5576,91.8506,2007-08-26,block_51_183
4408,NASA_GLC,25.5498,92.0757,2012-06-13,block_51_184
5429,NASA_GLC,27.3425,88.2426,2013-09-01,block_54_176
7933,NASA_GLC,26.1868,91.6739,2015-09-01,block_52_183
7372,NASA_GLC,25.0634,94.3415,2015-07-31,block_50_188
2570,NASA_GLC,24.837,93.9128,2010-10-08,block_49_187
7389,NASA_GLC,24.4072,94.0644,2015-08-01,block_48_188
142,NASA_GLC,25.5212,90.232,2007-07-27,block_51_180
11164,NASA_GLC,27.1071241,93.65156438,2017-07-09,block_54_187
10963,NASA_GLC,23.33501164,92.85410625,2017-06-12,block_46_185
269,NASA_GLC,27.2872,88.2816,2007-09-18,block_54_176
