source,source_id,source_ref,latitude,longitude,state,district,location_description,landslide_type,trigger,event_date,temporal_precision,fatalities,injuries,location_accuracy,original_record_reference,valid_coordinates,valid_date,duplicate_source_id,duplicate_coordinates
NASA_GLC,2182,1538703,24.9356,93.8443,Manipur,,Dimapur-Imphal highway (NH 39) near Manipur,landslide,rain,2010-07-31,day,0,0,25km,youtube,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3837,1538719,26.5836,93.0038,Assam,,NH 37,landslide,downpour,2011-07-24,day,0,0,50km,e-pao.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2140,1538760,25.0477,92.801,Assam,,"road between Halfong and Redzol(?) or Silchar, Assam",landslide,downpour,2010-07-25,day,0,0,25km,Telegraph India,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1954,1538775,24.7543,93.5039,Manipur,,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",landslide,rain,2010-06-07,day,0,0,50km,e-pao.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2426,1538841,22.7176,92.8416,Mizoram,,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",landslide,downpour,2010-09-13,day,0,0,25km,Mizoram Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9789,1538863,25.907233,91.881892,Meghalaya,,"St Paul's Secondary School, Nongpoh",landslide,rain,2017-05-26,day,0,3,exact,Shillong Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9712,1538866,23.73354779,92.74744512,Mizoram,,,landslide,rain,2017-06-10,day,2,0,1km,Zoram Observer,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9933,1538875,27.04768643,93.61899644,Arunachal Pradesh,,"Jollang, Itanagar Sub-District, Papum Pare, Arunachal Pradesh, 791123",landslide,downpour,2017-06-30,day,0,0,1km,The Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2025,1538889,25.5728,91.885,Meghalaya,,"Police CID complex(?), Shillong, Meghalaya",landslide,downpour,2010-06-28,day,1,0,5km,hindustantimes,TRUE,TRUE,FALSE,FALSE
NASA_GLC,8012,1538919,25.9703,91.8584,Meghalaya,,"Umling, Meghalaya 793102, India",landslide,unknown,2015-09-06,day,0,0,1km,The Assam Tribune,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2392,1538947,27.3702,88.7334,Sikkim,,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",landslide,downpour,2010-09-04,day,0,0,10km,news.oneindia,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2164,1538951,25.3098633,94.48214677,Manipur,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",landslide,downpour,2010-07-29,day,0,0,25km,E-Pao,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4845,1537814,24.2315,92.6755,Mizoram,,"Kolasib, Saiha, Mizoram,",mudslide,rain,2013-05-07,day,0,0,50km,www.thehindu.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,10024,1537820,25.83762589,93.94633448,Nagaland,,"Ghokuto, Nagaland",mudslide,continuous_rain,2017-06-25,day,0,0,5km,Nagaland Post,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6963,1537856,23.7131,92.7362,Mizoram,,"Muanna locality, Mizoram",landslide,rain,2015-06-19,day,0,0,50km,The Statesmen,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1222,1537874,23.73478778,92.72124394,Mizoram,,"Chhinga Veng, Aizawl",landslide,downpour,2009-10-05,day,3,0,5km,ptinews,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4859,1537894,26.1771,91.7599,Assam,,"Sarania Hills, North Guwahati, Guwahati, Assam,",landslide,rain,2013-05-11,day,0,1,5km,articles.timesofindia.indiatimes.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,8930,1537909,26.1699,94.4922,Nagaland,,"North Point Colony, Akuluto, Nagaland, India",landslide,unknown,2016-07-11,day,0,0,1km,Nagaland Post,TRUE,TRUE,FALSE,FALSE
NASA_GLC,285,1537912,24.1293,92.6921,Mizoram,,"National Highway, 45 Aizwal (Mizoram)",landslide,rain,2007-09-29,day,0,0,50km,Newkerala,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2045,1537964,26.2363,94.8133,Nagaland,,"Tuensang, Nagaland",mudslide,monsoon,2010-07-06,day,0,0,5km,morungexpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,215,1537967,25.7428,93.9136,Nagaland,,Phesema area at National Highway 39,landslide,rain,2007-08-28,day,1,0,50km,Newkerala,TRUE,TRUE,FALSE,FALSE
